,PINCP
131179,True
187585,True
192908,False
132095,True
74766,True
174381,False
176404,True
86097,True
169863,False
6830,False
133198,False
59413,True
57151,False
181061,False
18079,True
185282,True
88097,False
8704,True
195521,False
26641,False
60862,True
155389,True
24499,True
72135,False
132362,True
72810,True
94583,False
100422,False
140968,True
40305,False
53369,True
162681,False
62038,False
60249,False
120923,True
60326,False
136183,True
19578,False
169913,True
44511,True
175275,False
162781,True
168189,True
110465,True
107327,True
180804,True
25492,False
164379,False
42978,True
124359,False
177349,False
71008,False
152769,False
133902,True
23532,False
153422,True
154590,True
75874,False
87512,True
190125,True
178201,False
132284,True
97511,False
112728,False
71904,False
115320,False
98234,False
177070,False
72871,False
85955,False
70661,True
117571,False
6087,False
151465,True
58897,False
40763,True
13289,False
16314,False
161309,False
176227,False
8129,False
116785,False
187352,False
31785,False
82071,True
38407,False
122510,True
112927,False
81274,False
168996,False
91981,True
130599,False
36690,False
19427,True
140516,False
28084,False
6896,False
136081,False
88713,True
14252,False
28647,False
16003,True
80703,True
7010,True
195492,False
187114,False
194644,True
168991,True
194886,False
189466,True
122647,False
191469,False
36383,True
80076,False
114523,False
118278,True
67362,True
171664,True
5974,False
180338,True
141759,False
129442,True
112205,False
41854,False
159255,True
23120,True
96596,False
171700,True
173424,False
33578,False
193838,False
12046,False
177696,False
48324,False
8610,False
72829,False
80877,False
45538,False
1312,False
68732,False
177379,False
59873,True
169437,False
86245,False
162567,False
138059,False
156767,False
122754,True
103000,False
164740,False
36995,True
21300,False
178808,False
84787,False
42160,False
145690,False
151147,True
108990,True
188990,False
82730,False
94624,True
183334,False
160429,False
87485,True
162863,True
76446,False
41446,False
142045,True
31352,False
170710,False
151386,False
37319,False
162365,False
168770,False
140735,True
33873,False
193926,False
99575,False
10998,False
4800,False
93839,False
186062,False
44387,False
95148,False
178268,True
175243,True
62464,False
138550,False
54203,False
186877,False
62666,False
109352,True
161058,True
154760,True
12273,False
122789,True
101521,False
76435,False
83225,True
94869,False
172077,True
176930,True
115410,True
7821,True
181339,False
143764,False
109971,True
39871,False
153545,False
77434,True
103570,True
179116,True
14268,False
115840,True
17154,False
92317,True
8016,True
160179,False
23187,False
34952,False
111271,True
23064,False
160061,False
99662,True
160397,False
148252,True
47538,False
101186,True
10732,True
38850,True
170288,False
108470,False
40652,True
29702,False
120669,False
49104,True
147581,False
39620,False
13260,True
27340,False
99517,True
147287,False
166247,False
114124,False
20307,False
191080,False
113285,True
189050,True
165191,False
179826,False
49750,True
56983,False
177209,False
181601,False
148676,True
103074,False
134872,True
172550,False
31341,True
131726,False
113962,False
106375,False
97537,True
32411,False
140058,True
158213,False
46242,False
3384,False
89957,False
178879,True
17684,True
39153,False
161172,True
30680,False
103889,False
2602,False
26043,False
155859,False
1661,False
59627,False
140292,False
160726,False
101010,False
31294,True
149675,True
110408,False
51911,False
142657,False
187764,False
58984,False
16445,True
154173,False
10108,False
189958,True
145045,True
38982,True
38548,True
193549,True
18832,True
85570,False
150104,False
26060,False
178124,True
153858,True
6951,False
21643,True
98310,False
54233,False
61718,False
